,Code,deaths,X2018.people.per.sq..km,Mean_ann_earnings,median_age_2018,pm25_5yAvg,no2_5yAvg,o3_5yAvg,pm10_5yAvg,nox_5yAvg,cases,earnings_5ya.x,pop_dens_5ya,age_5ya.x,earnings_5ya.y,age_5ya.y,earnings_5ya,age_5ya,Area code,Cumulative lab-confirmed cases
87,E06000047,160,237,26634,43.5,6.523122799999999,5.710016099999999,2.9289187,9.8711753,7.4387272,647,25391.2,235,43.4,25391.2,43.4,25391.2,43.4,E06000047,647
88,E06000049,103,326,31067,46.2,8.0153054,10.0742941,2.3774347000000002,12.252148,13.649505,408,30358.0,324,45.6,30358.0,45.6,30358.0,45.6,E06000049,408
89,E06000049,103,326,31067,46.2,8.0153054,10.0742941,2.3774347000000002,12.252148,13.649505,408,30358.0,324,45.6,30358.0,45.6,30358.0,45.6,E06000049,408
90,E06000050,73,371,29183,44.4,7.2666723,7.5207102,2.8662772000000003,10.976436999999999,9.9745381,422,28111.2,367,44.0,28111.2,44.0,28111.2,44.0,E06000050,422
91,E06000050,73,371,29183,44.4,7.2666723,7.5207102,2.8662772000000003,10.976436999999999,9.9745381,422,28111.2,367,44.0,28111.2,44.0,28111.2,44.0,E06000050,422
92,E06000051,41,100,26455,47.4,7.893527900000001,5.3620111,4.2120777,12.877853,6.972859,237,25800.0,99,46.6,25800.0,46.6,25800.0,46.6,E06000051,237
93,E06000051,41,100,26455,47.4,7.893527900000001,5.3620111,4.2120777,12.877853,6.972859,237,25800.0,99,46.6,25800.0,46.6,25800.0,46.6,E06000051,237
94,E06000052,76,160,22887,47.2,6.773380499999999,4.9872265,3.2994440000000003,11.698533,6.4358568,287,22008.4,158,46.6,22008.4,46.6,22008.4,46.6,E06000052,287
95,E06000052,76,160,22887,47.2,6.773380499999999,4.9872265,3.2994440000000003,11.698533,6.4358568,287,22008.4,158,46.6,22008.4,46.6,22008.4,46.6,E06000052,287
96,E06000054,89,153,29483,44.6,8.8128013,7.2671239000000005,4.5239560999999995,13.622236,9.702246800000001,236,27150.6,152,44.0,27150.6,44.0,27150.6,44.0,E06000054,236
97,E06000054,89,153,29483,44.6,8.8128013,7.2671239000000005,4.5239560999999995,13.622236,9.702246800000001,236,27150.6,152,44.0,27150.6,44.0,27150.6,44.0,E06000054,236
98,E06000055,32,360,28943,40.2,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,232,28242.8,355,40.0,28242.8,40.0,28242.8,40.0,E06000055,232
99,E06000055,32,360,28943,40.2,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,232,28242.8,355,40.0,28242.8,40.0,28242.8,40.0,E06000055,232
100,E06000056,61,396,32221,41.3,10.3931732,12.915947000000001,4.0803259,15.516103,18.081887,289,31588.0,389,41.3,31588.0,41.3,31588.0,41.3,E06000056,289
101,E06000056,61,396,32221,41.3,10.3931732,12.915947000000001,4.0803259,15.516103,18.081887,289,31588.0,389,41.3,31588.0,41.3,31588.0,41.3,E06000056,289
102,E06000057,59,64,25438,48.0,5.38475418,3.96859358,1.9859255,7.72358524,5.09170032,382,25817.4,64,47.3,25817.4,47.3,25817.4,47.3,E06000057,382
103,E06000057,59,64,25438,48.0,5.38475418,3.96859358,1.9859255,7.72358524,5.09170032,382,25817.4,64,47.3,25817.4,47.3,25817.4,47.3,E06000057,382
104,E07000008,12,3090,36066,30.6,10.383046,15.602426999999999,4.5102072,15.431303,22.370437,92,32830.2,3067,31.3,32830.2,31.3,32830.2,31.3,E07000008,92
105,E07000010,14,186,25799,44.8,9.0243468,9.412851199999999,4.9976177,13.238622,12.751213,69,24695.2,183,44.6,24695.2,44.6,24695.2,44.6,E07000010,69
106,E07000011,18,196,33158,43.3,9.9860841,11.0644487,4.5573043,15.712569,15.168489000000001,110,29970.8,194,42.8,29970.8,42.8,29970.8,42.8,E07000011,110
107,E07000012,12,175,38350,42.9,9.878589100000001,8.693337300000001,5.3755633000000005,15.448986999999999,11.704342,106,36589.0,173,42.5,36589.0,42.5,36589.0,42.5,E07000012,106
108,E07000026,24,79,28789,47.8,5.1649791,3.8748672999999996,1.9942924,7.6842048,4.9539791,125,26716.6,78,47.2,26716.6,47.2,26716.6,47.2,E07000026,125
109,E07000027,27,861,27140,44.9,8.6935803,12.5033575,2.0479448000000002,12.0178106,17.878201,393,24277.0,865,44.5,24277.0,44.5,24277.0,44.5,E07000027,393
110,E07000028,31,104,23809,44.8,7.20679246,10.49924286,1.66060986,10.31327192,14.29867296,229,22183.2,104,44.1,22183.2,44.1,22183.2,44.1,E07000028,229
111,E07000029,18,94,31177,46.7,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,117,30858.4,94,46.0,30858.4,46.0,30858.4,46.0,E07000029,117
112,E07000031,63,68,27942,50.9,6.360427,7.019504400000001,2.236009,9.740701800000002,9.2131413,317,26072.6,68,50.2,26072.6,50.2,26072.6,50.2,E07000031,317
113,E07000032,31,477,28594,46.0,9.623555099999999,13.133372,2.4887442,14.047264000000002,18.407579000000002,89,27857.8,473,45.4,27857.8,45.4,27857.8,45.4,E07000032,89
114,E07000033,10,496,23373,44.0,9.5175353,13.266738,2.3038656000000004,15.184342000000001,18.547698999999998,66,22090.6,491,43.6,22090.6,43.6,22090.6,43.6,E07000033,66
115,E07000034,17,1584,25376,44.5,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,109,23464.0,1584,44.0,23464.0,44.0,23464.0,44.0,E07000034,109
116,E07000035,18,91,31252,50.8,7.7188652,8.0453598,2.4820571,11.859425,10.785775,66,29063.0,91,49.8,29063.0,49.8,29063.0,49.8,E07000035,66
117,E07000037,19,171,25908,45.9,6.4905263,7.4803572,2.0398099999999997,9.2773691,9.972656599999999,80,26038.6,171,45.2,26038.6,45.2,26038.6,45.2,E07000037,80
118,E07000038,31,367,25327,47.6,7.648886,9.061729,2.3484287,11.374969,12.254583,115,24919.2,365,47.1,24919.2,47.1,24919.2,47.1,E07000038,115
119,E07000039,26,309,32936,42.2,9.7575521,10.993967,2.9479877,15.114071,15.111998000000002,121,29731.8,302,42.1,29731.8,42.1,29731.8,42.1,E07000039,121
120,E07000040,8,177,25979,50.9,7.0908916,4.6193122,3.3736462999999994,11.373261999999999,5.9540432,78,25277.0,174,50.5,25277.0,50.5,25277.0,50.5,E07000040,78
121,E07000041,16,2773,24395,33.7,8.487485099999999,11.1663687,2.9058971000000002,12.777247000000001,15.254382000000001,88,23810.0,2718,34.1,23810.0,34.1,23810.0,34.1,E07000041,88
122,E07000042,4,89,24840,46.5,7.0010136,3.7841164,3.3889833,11.292486,4.8376614,53,24544.2,88,46.0,24544.2,46.0,24544.2,46.0,E07000042,53
123,E07000043,5,88,22084,47.6,6.781428599999999,3.9850809000000003,3.2035848999999996,10.903416,5.1008236,23,21406.2,88,47.1,21406.2,47.1,21406.2,47.1,E07000043,23
124,E07000044,4,97,25262,51.2,6.4876111,4.0906034,3.453074,10.670891000000001,5.2414742,49,23993.6,96,50.5,23993.6,50.5,23993.6,50.5,E07000044,49
125,E07000045,11,197,23794,49.2,7.0030125,4.8114699,3.4328392,11.229416,6.2012168,50,22858.6,194,48.6,22858.6,48.6,22858.6,48.6,E07000045,50
126,E07000046,2,69,22622,50.2,6.744758,3.182322,3.3172266,11.197707000000001,4.039916000000001,8,21861.0,68,49.4,21861.0,49.4,21861.0,49.4,E07000046,8
127,E07000061,19,2336,26181,45.7,9.5527744,10.6692686,3.0593083,13.820395999999999,14.548035999999998,63,23872.6,2327,44.9,23872.6,44.9,23872.6,44.9,E07000061,63
128,E07000063,21,352,27060,47.7,9.7554344,12.058203500000001,3.0160911,14.530667000000001,16.572611,94,27978.8,349,47.2,27978.8,47.2,27978.8,47.2,E07000063,94
129,E07000066,63,1689,32954,39.3,11.392952000000001,18.167649,3.6872902,16.614669,26.518565000000002,221,31050.8,1673,39.5,31050.8,39.5,31050.8,39.5,E07000066,221
130,E07000067,28,248,32889,43.5,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,102,29742.6,247,43.0,29742.6,43.0,29742.6,43.0,E07000067,102
131,E07000068,30,500,40998,43.3,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,107,42520.0,500,43.3,42520.0,43.3,42520.0,43.3,E07000068,107
132,E07000069,27,1998,31942,46.9,10.321809,14.766062,4.1301228,14.892576000000002,21.016725,89,28422.0,2007,46.7,28422.0,46.7,28422.0,46.7,E07000069,89
133,E07000070,47,523,31884,41.7,11.519376,16.208225,3.9586031999999998,16.930769,23.179425,186,34181.8,517,41.6,34181.8,41.6,34181.8,41.6,E07000070,186
134,E07000071,26,585,32774,37.9,11.099725999999999,15.394256,3.9295470999999997,16.197012,21.933111,106,29549.8,574,38.1,29549.8,38.1,29549.8,38.1,E07000071,106
135,E07000072,65,387,35185,42.7,10.946900999999999,17.379737,3.7714663,16.301759,25.030891,235,36454.4,384,42.7,36454.4,42.7,36454.4,42.7,E07000072,235
136,E07000073,38,2836,28669,37.5,10.691811,15.491037,4.0120848,15.747967000000001,22.001154999999997,158,27280.8,2814,37.4,27280.8,37.4,27280.8,37.4,E07000073,158
137,E07000074,13,180,34872,48.7,10.695048,11.6340119,4.4732937999999995,16.152613,16.013231,54,35998.4,178,48.0,35998.4,48.0,35998.4,48.0,E07000074,54
138,E07000075,26,513,32303,46.1,10.762884,13.654380999999999,4.262447900000001,16.319810999999998,19.2474,83,31612.2,514,45.7,31612.2,45.7,31612.2,45.7,E07000075,83
139,E07000076,37,432,24841,50.4,10.1060267,9.0883916,4.6977376,15.808114999999999,12.221089,119,24359.8,428,50.0,24359.8,50.0,24359.8,50.0,E07000076,119
140,E07000077,16,139,43669,44.0,10.061199499999999,9.9835511,4.924046400000001,15.777565,13.559142999999999,79,40109.2,136,43.7,40109.2,43.7,40109.2,43.7,E07000077,79
141,E07000078,37,2513,32972,40.2,9.918287,14.306348999999999,3.2504543,14.312529000000001,20.231531,173,29782.8,2507,39.8,29782.8,39.8,29782.8,39.8,E07000078,173
142,E07000079,14,76,31025,48.8,8.870190800000001,6.5570799,4.0573302,13.822257999999998,8.657662199999999,77,28983.8,75,48.3,28983.8,48.3,28983.8,48.3,E07000079,77
