Unnamed: 0,Code,Mean_ann_earnings,median_age_2018,Name,2018 people per sq. km,deaths,lat,lon
262,E07000177,31298.0,41.1,Cherwell,253,28,51.9747169,-1.2262941
263,E07000178,30401.0,29.0,Oxford,3384,22,51.7520131,-1.2578499
264,E07000179,40886.0,44.3,South Oxfordshire,207,23,51.6366088,-1.0804708
265,E07000180,35462.0,42.6,Vale of White Horse,232,51,51.654201,-1.4857035
266,E07000181,28948.0,44.4,West Oxfordshire,154,27,51.8403629,-1.5121274
308,E07000187,25863.0,46.6,Mendip,155,7,51.1943905,-2.5419221
309,E07000188,26472.0,46.5,Sedgemoor,218,11,51.1868339,-2.9684212
310,E07000189,23211.0,47.2,South Somerset,175,12,50.9843053,-2.7761562
116,E07000192,25444.0,42.6,Cannock Chase,1269,32,52.7069197,-1.9784348
117,E07000193,26344.0,42.1,East Staffordshire,306,36,52.8878642,-1.9030802
118,E07000194,36357.0,46.3,Lichfield,314,39,52.68064,-1.8243992
119,E07000195,24887.0,41.9,Newcastle-under-Lyme,614,27,53.0117627,-2.2273919
120,E07000196,30398.0,47.7,South Staffordshire,275,37,52.6047717,-2.2591648
121,E07000197,28083.0,45.2,Stafford,227,21,52.8063157,-2.1163818
122,E07000198,26212.0,48.2,Staffordshire Moorlands,171,17,53.0715567,-1.9742007
123,E07000199,25739.0,41.2,Tamworth,2485,26,52.6345819,-1.6948438
182,E07000200,36313.0,48.5,Babergh,154,12,52.0629754,0.9122242
183,E07000202,24883.0,37.8,Ipswich,3480,30,52.0579495,1.1526345
184,E07000203,27972.0,47.6,Mid Suffolk,118,16,52.2347618,1.0451343
267,E07000207,47817.0,42.7,Elmbridge,1437,40,52.308409,-2.1474369
268,E07000208,,41.5,Epsom and Ewell,2345,40,51.3363098,-0.2673817
269,E07000209,39178.0,37.5,Guildford,546,19,51.2356068,-0.5732063
270,E07000210,39720.0,47.1,Mole Valley,338,38,51.2201281,-0.334729
271,E07000211,42621.0,41.4,Reigate and Banstead,1144,80,51.2516404,-0.1864682
272,E07000212,34344.0,38.0,Runnymede,1128,22,51.3948374,-0.5519609
273,E07000213,32146.0,41.7,Spelthorne,2213,34,51.4250347,-0.4592861
274,E07000214,41945.0,43.8,Surrey Heath,935,10,51.335889,-0.6916534
275,E07000215,40378.0,44.2,Tandridge,353,23,51.2393372,-0.0344318
